"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"227","Hyphodontia",0.00064141817078724,0.00785132127009555,-3.61359833060326,-2.50475549453377,4.93674490964158,-0.50736984397187,0.611895340656247
"228","Hypocreaceae",0.00534422068286356,0.00760082785922159,-0.508176977785047,-0.352241439377178,3.53167728447458,-0.0997377197870395,0.920552553771626
"229","Hypocreales",0.139440802551029,0.0442279406754132,1.65662280333205,1.14828342538093,0.929745765254923,1.23505098736974,0.21681152875462
"230","Hyponectriaceae",0.00673174270611011,0.00456049671553295,0.561789069548851,0.389402509627182,4.81918342718756,0.0808025914577885,0.935598947125859
"231","Idriella",0.00201071425733345,0.00152016557184432,0.403479608557154,0.279670753084822,7.77625475977955,0.0359647107411319,0.971310497488516
"232","Inocybaceae",0.00325960025285201,0.0549592488906689,-4.07559533464544,-2.82498741531275,1.90034102949818,-1.48656865871003,0.137128770600376
"233","Inocybe",0.00325960025285201,0.0549592488906689,-4.07559533464544,-2.82498741531275,1.90034102949818,-1.48656865871003,0.137128770600376
"234","Irpicaceae",0.00315293994705151,0.00608066228737727,-0.94753077444154,-0.656778284797936,4.1704448328151,-0.157483988189961,0.874863426007344
"235","Kockovaella",0.00190296707071813,0.0201725649791359,-3.40607203468253,-2.36090922762427,3.52600026594265,-0.669571483141422,0.503130997874789
"236","Kockovaella mexicana",0.000102977015272509,0.00403451299582718,-5.29200027166096,-3.66813506782426,14.6533023044024,-0.25032821896551,0.802333535433555
"237","Kondoa",0.00596216617543391,0.00403451299582718,0.563442049216155,0.390548267823094,6.53003782905047,0.0598079640650235,0.952308582527184
"238","Kondoaceae",0.00658307780075589,0.00403451299582718,0.706367711082242,0.489616787375236,6.52041719511608,0.0750897945214254,0.940143267692917
"239","Kriegeriaceae",0.000598581633299969,0.13243151388046,-7.78948274428262,-5.39925800221984,4.47186108493032,-1.20738500138449,0.227283908992845
"240","Kriegeriales",0.000598581633299969,0.13243151388046,-7.78948274428262,-5.39925800221984,4.47186108493032,-1.20738500138449,0.227283908992845
"241","Kwoniella",0.00216031375605346,0.00403451299582718,-0.901153677623581,-0.624632130896012,6.71142866316606,-0.0930699203172857,0.925848013798399
"242","Lachnellula",0.000560978558842509,0.0157026425401911,-4.80691792453527,-3.33190160657469,7.96242425078925,-0.418453162206777,0.675615824604063
"243","Lactarius",0.00448782847074008,0.00785132127009555,-0.806917924535271,-0.559312884334905,3.92274668613303,-0.1425819531789,0.886620351118365
"244","Lasiobolidium",0.00168293567652753,0.00152016557184432,0.146751570270008,0.101720437175402,8.6385907338735,0.0117751193810511,0.990605031152203
"245","Lasiobolidium orbiculoides",0.00168293567652753,0.00152016557184432,0.146751570270008,0.101720437175402,8.6385907338735,0.0117751193810511,0.990605031152203
"246","Lasiosphaeriaceae",0.010271464847083,0.0106411590029102,-0.0510133496139021,-0.0353597594557947,2.93324315046275,-0.0120548340665916,0.990381866965409
"247","Lecanicillium",0.000721180186120312,0.00785132127009555,-3.44450379482564,-2.38754809381142,4.90753408859976,-0.486506675390746,0.626607973595525
"248","Lecanoromycetes",0.0640975980442035,0.0157026425401911,2.0292629297376,1.40657787836243,2.02584595199549,0.694316306221078,0.487483867146687
"249","Lecythophora",0.000726654393102943,0.00304033114368863,-2.06488719958378,-1.43127074056582,6.58872345128255,-0.217230355948118,0.828028828846371
"250","Leohumicola",0.000205954030545018,0.0785132127009555,-8.5744692898766,-5.9433692130758,9.35417337832851,-0.635370863110709,0.525186566522063
"251","Leotiaceae",0.000468900018275294,0.0863645339710511,-7.52501483853602,-5.21594281900299,5.08071798511392,-1.02661530009839,0.304601646657517
"252","Leotiales",0.000509287257755387,0.00785132127009555,-3.94638393338193,-2.73542489683075,4.97420775448172,-0.549921722583091,0.582373064250622
"253","Leotiomycetes",0.124463705489157,0.44766048164266,-1.84667986294073,-1.28002094039419,0.371792826902052,-3.44283387891024,0.000575652799337748
"254","Leucosporidiaceae",0.00422139987863056,0.0191053317891413,-2.17818190980451,-1.50980064952767,2.05931877648141,-0.733155384572049,0.463463663427567
"255","Leucosporidium",0.00422139987863056,0.0191053317891413,-2.17818190980451,-1.50980064952767,2.05931877648141,-0.733155384572049,0.463463663427567
"256","Leucosporidium fragarium",0.000617862091635055,0.00403451299582718,-2.7070377709398,-1.8763755985962,8.37924551222832,-0.223931330793196,0.822810736270082
"257","Leucosporidium yakuticum",0.000102977015272509,0.00403451299582718,-5.29200027166096,-3.66813506782426,14.6533023044024,-0.25032821896551,0.802333535433555
"258","Leucothecium",0.00336587135305506,0.00608066228737727,-0.853248429729992,-0.591426743384546,4.85880416027186,-0.121722696341697,0.903118637813079
"259","Leucothecium emdenii",0.00224391423537004,0.00608066228737727,-1.43821093045115,-0.996891851492708,5.34412225306169,-0.186539866471352,0.852021418540151
"260","Linnemannia",0.000102977015272509,0.00152016557184432,-3.88383420090512,-2.69206872611967,15.1072041227394,-0.178197680010662,0.858567731648598
"261","Lipomyces",0.00112195711768502,0.00226082701247859,-1.01083307251916,-0.700656094233403,15.838813081338,-0.0442366540115906,0.964715764962513
"262","Lipomycetaceae",0.00112195711768502,0.00226082701247859,-1.01083307251916,-0.700656094233403,15.838813081338,-0.0442366540115906,0.964715764962513
"263","Lobulomycetales",0.002148391366596,0.00709246742035914,-1.72303078933043,-1.19431393364237,3.01380920570953,-0.396280538057881,0.691898082927421
"264","Lobulomycetes",0.002148391366596,0.00608066228737727,-1.50097163712969,-1.04039425837689,4.21333315169545,-0.246929027665005,0.804963150965814
